URL,XSSed
webcenters.netscape.compuserve.com,R
store.samsung.com,
auth.dhs.gov,
www.titivillus.it,
www.brazzers.com,
www-ssrl.slac.stanford.edu,R
touch.afisha.mail.ru,
touch.tv.mail.ru,
english.sinopec.com,
www.fbi.com,
ged.latribune.fr,
bg.msi.com,
www.wesecure.nl,
pti.regione.sicilia.it,
lavillette.com,
www.peabody.harvard.edu,
gmwgroup.harvard.edu,
www.innovations.harvard.edu,
pus.lcs.mit.edu,
www.ups.com,R
portailrh.ac-bordeaux.fr,
www.m86security.com,R
renewus.avg.com,
channel.pandasecurity.com,
cyber.law.harvard.edu,
kids.britannica.com,
www.dohabank.com.qa,
topup.orange.com,
library.leeds.ac.uk,
www.elle.fr,
loadgamesvf.bet365.com,
developer.lgmobile.com,
www.pixelempireclothing.com,
www.dysontt.com,
ipcprogram.com,
www.ncgg.info,
www.iiar-anticancer.org,
www.phishtank.com,
domains.whois.com,R
www.metasploit.net,
www.metasploit.com,
www.maquis-art.com,
www.bwin.com,
www.steria-psf.lu,
www.tasteofsouthflorida.com,
www.cyprus-directory.com,
autonews.sat1.de,
www.auto-news.de,
www.sfelipeneri.edu.ec,
tikona.in,
www.coolwebscripts.com,
www.arremate.com,
www.deremate.cl,R
www.deremate.com.ve,
www.yemen.gov.ye,
www.clixsense.com,
www.culture.gouv.fr,
thepiratebay.cr,
defense.aol.com,
solutions.liveperson.com,
uk.playstation.com,R
www.ubuntu.com,R
www.museociudadquito.gob.ec,
www.opera-guide.ch,
www.universal-alliance.de,
www.avis.co.uk,
www.fly.faa.gov,
www.mcafeesecure.com,
www.mikrotik.com,
9gag.com,
www.pnop.com,
www.torrents.net,
e360.yale.edu,
ayalists.yale.edu,
frenchstudies.research.yale.edu,
www.circulo.claro.com.ar,
www.hostinway.com,
www.coqnu.com,
www.gtgroup.ge,
www.lukoil.ge,
www.narbonne.fr,
partners.rt.com,
www4b.wolframalpha.com,
www.ddindia.gov.in,
